Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:18:41.914703,14:19:03.495204,-1,-1.0
1,14:18:41.914703,14:19:04.398107,-1,-1.0
1,14:18:41.914703,14:19:04.857542,-1,-1.0
1,14:18:41.914703,14:19:05.309193,-1,-1.0
1,14:18:41.914703,14:19:05.696595,-1,-1.0
1,14:18:41.914703,14:19:06.048421,-1,-1.0
1,14:18:41.914703,14:19:06.417588,-1,-1.0
1,14:18:41.914703,14:19:06.801455,-1,-1.0
1,14:18:41.914703,14:19:07.200510,-1,-1.0
1,14:18:41.914703,14:19:07.545361,-1,-1.0
1,14:18:41.914703,14:19:08.147351,1,-1.0
1,14:18:41.914703,14:19:08.346984,1,-1.0
1,14:18:41.914703,14:19:08.547667,1,-1.0
1,14:18:41.914703,14:19:08.714047,1,-1.0
1,14:18:41.914703,14:19:08.903900,1,-1.0
1,14:18:41.914703,14:19:09.097520,1,-1.0
1,14:18:41.914703,14:19:09.298611,1,-1.0
1,14:18:41.914703,14:19:09.488526,1,-1.0
1,14:18:41.914703,14:19:09.681539,1,-1.0
1,14:18:41.914703,14:19:09.881401,1,-1.0
1,14:18:41.914703,14:19:10.091621,1,-1.0
1,14:18:41.914703,14:19:10.292672,1,-1.0
1,14:18:41.914703,14:19:10.506301,1,-1.0
1,14:18:41.914703,14:19:10.697589,1,-1.0
1,14:18:41.914703,14:19:10.899341,1,-1.0
1,14:18:41.914703,14:19:11.090214,1,-1.0
1,14:18:41.914703,14:19:11.314467,1,-1.0
1,14:18:41.914703,14:19:11.524223,1,-1.0
1,14:18:41.914703,14:19:11.756244,1,-1.0
1,14:18:41.914703,14:19:11.957140,1,-1.0
1,14:18:41.914703,14:19:12.178126,1,-1.0
1,14:18:41.914703,14:19:12.453036,1,-1.0
1,14:18:41.914703,14:19:12.670045,1,-1.0
1,14:18:41.914703,14:19:13.003231,1,-1.0
1,14:18:41.914703,14:19:13.424731,1,-1.0
1,14:18:41.914703,14:19:13.852949,1,-1.0
1,14:18:41.914703,14:19:15.298884,1,-1.0
1,14:18:41.914703,14:19:16.859183,-1,-1.0
1,14:18:41.914703,14:19:17.378846,-1,-1.0
1,14:18:41.914703,14:19:17.742775,-1,-1.0
1,14:18:41.914703,14:19:18.227229,1,-1.0
1,14:18:41.914703,14:19:18.447036,1,-1.0
1,14:18:41.914703,14:19:18.602606,1,-1.0
1,14:18:41.914703,14:19:18.761752,1,-1.0
1,14:18:41.914703,14:19:18.941063,1,-1.0
1,14:18:41.914703,14:19:19.140786,1,-1.0
1,14:18:41.914703,14:19:19.310605,1,-1.0
1,14:18:41.914703,14:19:19.499700,1,-1.0
1,14:18:41.914703,14:19:19.691175,1,-1.0
1,14:18:41.914703,14:19:19.859619,1,-1.0
1,14:18:41.914703,14:19:20.073474,1,-1.0
1,14:18:41.914703,14:19:20.243682,1,-1.0
1,14:18:41.914703,14:19:20.475233,1,-1.0
1,14:18:41.914703,14:19:20.676092,1,-1.0
1,14:18:41.914703,14:19:20.898375,1,-1.0
1,14:18:41.914703,14:19:21.120103,1,-1.0
1,14:18:41.914703,14:19:21.324547,1,-1.0
1,14:18:41.914703,14:19:21.550573,1,-1.0
1,14:18:41.914703,14:19:21.751428,1,-1.0
1,14:18:41.914703,14:19:21.962768,1,-1.0
1,14:18:41.914703,14:19:22.162268,1,-1.0
1,14:18:41.914703,14:19:22.372557,1,-1.0
1,14:18:41.914703,14:19:22.573927,1,-1.0
1,14:18:41.914703,14:19:22.796324,1,-1.0
1,14:18:41.914703,14:19:22.997008,1,-1.0
1,14:18:41.914703,14:19:23.197678,1,-1.0
1,14:18:41.914703,14:19:23.427946,1,-1.0
1,14:18:41.914703,14:19:23.659777,1,-1.0
1,14:18:41.914703,14:19:23.889735,1,-1.0
1,14:18:41.914703,14:19:24.099152,1,-1.0
1,14:18:41.914703,14:19:24.291163,1,-1.0
1,14:18:41.914703,14:19:24.535329,1,-1.0
1,14:18:41.914703,14:19:24.852338,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,14:19:25.482746,14:19:29.478634,1,-1.0
2,14:19:25.482746,14:19:30.360797,1,-1.0
2,14:19:25.482746,14:19:30.834283,1,-1.0
2,14:19:25.482746,14:19:31.513281,1,-1.0
2,14:19:25.482746,14:19:31.900293,1,-1.0
2,14:19:25.482746,14:19:32.323148,1,-1.0
2,14:19:25.482746,14:19:32.658666,1,-1.0
2,14:19:25.482746,14:19:33.012315,1,-1.0
2,14:19:25.482746,14:19:33.398640,1,-1.0
2,14:19:25.482746,14:19:33.976296,1,-1.0
2,14:19:25.482746,14:19:35.462040,1,-1.0
2,14:19:25.482746,14:19:37.459263,-1,-1.0
2,14:19:25.482746,14:19:38.204831,-1,-1.0
2,14:19:25.482746,14:19:39.207785,-1,-1.0
2,14:19:25.482746,14:19:39.764283,1,-1.0
2,14:19:25.482746,14:19:40.096878,1,-1.0
2,14:19:25.482746,14:19:40.442687,1,-1.0
2,14:19:25.482746,14:19:40.768339,1,-1.0
2,14:19:25.482746,14:19:41.117948,1,-1.0
2,14:19:25.482746,14:19:41.378937,1,-1.0
2,14:19:25.482746,14:19:41.683590,1,-1.0
2,14:19:25.482746,14:19:41.960098,1,-1.0
2,14:19:25.482746,14:19:42.200219,1,-1.0
2,14:19:25.482746,14:19:42.835621,1,-1.0
2,14:19:25.482746,14:19:43.136289,1,-1.0
2,14:19:25.482746,14:19:43.455229,1,-1.0
2,14:19:25.482746,14:19:43.867796,1,-1.0
2,14:19:25.482746,14:19:44.276620,1,-1.0
2,14:19:25.482746,14:19:44.805647,1,-1.0
2,14:19:25.482746,14:19:45.256838,1,-1.0
2,14:19:25.482746,14:19:45.676564,1,-1.0
2,14:19:25.482746,14:19:46.315731,1,-1.0
2,14:19:25.482746,14:19:46.836547,1,-1.0
2,14:19:25.482746,14:19:47.532251,1,-1.0
2,14:19:25.482746,14:19:48.044302,-1,-1.0
2,14:19:25.482746,14:19:48.680060,1,-1.0
2,14:19:25.482746,14:19:48.923604,1,-1.0
2,14:19:25.482746,14:19:49.126904,1,-1.0
2,14:19:25.482746,14:19:49.356607,1,-1.0
2,14:19:25.482746,14:19:49.665959,1,-1.0
2,14:19:25.482746,14:19:49.899666,1,-1.0
2,14:19:25.482746,14:19:50.110756,1,-1.0
2,14:19:25.482746,14:19:50.336633,1,-1.0
2,14:19:25.482746,14:19:50.601954,1,-1.0
2,14:19:25.482746,14:19:50.845899,1,-1.0
2,14:19:25.482746,14:19:51.093045,1,-1.0
2,14:19:25.482746,14:19:51.335066,1,-1.0
2,14:19:25.482746,14:19:51.568807,1,-1.0
2,14:19:25.482746,14:19:51.836332,1,-1.0
2,14:19:25.482746,14:19:52.154374,1,-1.0
2,14:19:25.482746,14:19:52.408328,1,-1.0
2,14:19:25.482746,14:19:52.622264,1,-1.0
2,14:19:25.482746,14:19:52.813531,1,-1.0
2,14:19:25.482746,14:19:53.080044,1,-1.0
2,14:19:25.482746,14:19:53.377218,1,-1.0
2,14:19:25.482746,14:19:53.664096,1,-1.0
2,14:19:25.482746,14:19:53.971828,1,-1.0
2,14:19:25.482746,14:19:54.280938,1,-1.0
2,14:19:25.482746,14:19:54.590121,1,-1.0
2,14:19:25.482746,14:19:54.902249,1,-1.0
2,14:19:25.482746,14:19:55.234815,1,-1.0
2,14:19:25.482746,14:19:55.547625,1,-1.0
2,14:19:25.482746,14:19:55.891597,1,-1.0
2,14:19:25.482746,14:19:56.225117,1,-1.0
2,14:19:25.482746,14:19:56.581087,1,-1.0
2,14:19:25.482746,14:19:57.050778,1,-1.0
